Epoch,TrainingLoss,ValidationLoss
1,0.010626552937099803,0.0037016593831077473
2,0.004077329157918304,0.0029020317236025787
3,0.0033035123669754494,0.0023246959473030514
4,0.0028908338037636656,0.00228531392600291
5,0.002720266881847346,0.002217113581317445
6,0.0025847853020484076,0.0020776682529309444
7,0.002495566221891444,0.0020672189270483396
8,0.0023918414204088475,0.0023530470789410174
9,0.0023023947167317353,0.0019824233935776584
10,0.0021919599826924437,0.001995255839950726
11,0.002135430925036831,0.001954632603507168
12,0.0020694669627497647,0.0019313662020882976
13,0.0020549232728573254,0.001970622336275169
14,0.002012333682932186,0.001901113675056218
15,0.0020033837238744856,0.002059463556085167
16,0.0019690018522739005,0.0019312958907464455
17,0.001948343407703107,0.0019364398241781726
18,0.0019222849040845744,0.001943883515195921
19,0.0019153798300290072,0.0018599376585214109
20,0.0019111588339466772,0.0019072839334920242
