Date,Latitude,Longitude,Temperature_C
01-01-2025,17.5,80.5,29.682444
01-01-2025,17.5,81.5,28.988733
01-01-2025,17.5,82.5,28.400623
01-01-2025,17.5,83.5,27.761782
01-01-2025,17.5,84.5,
01-01-2025,18.5,80.5,29.257744
01-01-2025,18.5,81.5,28.42902
01-01-2025,18.5,82.5,28.106052
01-01-2025,18.5,83.5,27.578684
01-01-2025,18.5,84.5,27.480503
01-01-2025,19.5,80.5,28.39955
01-01-2025,19.5,81.5,28.341093
01-01-2025,19.5,82.5,27.48966
01-01-2025,19.5,83.5,27.853811
01-01-2025,19.5,84.5,27.383453
01-01-2025,20.5,80.5,27.33023
01-01-2025,20.5,81.5,26.346333
01-01-2025,20.5,82.5,27.618925
01-01-2025,20.5,83.5,27.27146
01-01-2025,20.5,84.5,27.081587
01-01-2025,21.5,80.5,25.321692
01-01-2025,21.5,81.5,25.840456
01-01-2025,21.5,82.5,25.796612
01-01-2025,21.5,83.5,26.561546
01-01-2025,21.5,84.5,26.371384
01-01-2025,22.5,80.5,23.267035
01-01-2025,22.5,81.5,24.378897
01-01-2025,22.5,82.5,24.445892
01-01-2025,22.5,83.5,24.205248
01-01-2025,22.5,84.5,25.161306
01-01-2025,23.5,80.5,22.035053
01-01-2025,23.5,81.5,21.111872
01-01-2025,23.5,82.5,22.498806
01-01-2025,23.5,83.5,22.904165
01-01-2025,23.5,84.5,22.991135
01-01-2025,24.5,80.5,20.225384
01-01-2025,24.5,81.5,19.5345
01-01-2025,24.5,82.5,19.42628
01-01-2025,24.5,83.5,19.108028
01-01-2025,24.5,84.5,18.969683
02-01-2025,17.5,80.5,28.715992
02-01-2025,17.5,81.5,28.030483
02-01-2025,17.5,82.5,27.393988
02-01-2025,17.5,83.5,27.088507
02-01-2025,17.5,84.5,
02-01-2025,18.5,80.5,28.832413
02-01-2025,18.5,81.5,28.033869
02-01-2025,18.5,82.5,27.30187
02-01-2025,18.5,83.5,27.020699
02-01-2025,18.5,84.5,27.078867
02-01-2025,19.5,80.5,28.811249
02-01-2025,19.5,81.5,27.925322
02-01-2025,19.5,82.5,27.46386
02-01-2025,19.5,83.5,27.57221
02-01-2025,19.5,84.5,27.1725
02-01-2025,20.5,80.5,28.174377
02-01-2025,20.5,81.5,28.461592
02-01-2025,20.5,82.5,28.299582
02-01-2025,20.5,83.5,27.883291
02-01-2025,20.5,84.5,27.12283
02-01-2025,21.5,80.5,26.996897
02-01-2025,21.5,81.5,27.73736
02-01-2025,21.5,82.5,28.234562
02-01-2025,21.5,83.5,27.594566
02-01-2025,21.5,84.5,26.814032
02-01-2025,22.5,80.5,25.702724
02-01-2025,22.5,81.5,26.787369
02-01-2025,22.5,82.5,26.60227
02-01-2025,22.5,83.5,25.468315
02-01-2025,22.5,84.5,25.31807
02-01-2025,23.5,80.5,24.473919
02-01-2025,23.5,81.5,22.997204
02-01-2025,23.5,82.5,24.444937
02-01-2025,23.5,83.5,24.431578
02-01-2025,23.5,84.5,23.050497
02-01-2025,24.5,80.5,22.531721
02-01-2025,24.5,81.5,21.439966
02-01-2025,24.5,82.5,20.905926
02-01-2025,24.5,83.5,20.265974
02-01-2025,24.5,84.5,19.951023
03-01-2025,17.5,80.5,29.671492
03-01-2025,17.5,81.5,28.871185
03-01-2025,17.5,82.5,28.156918
03-01-2025,17.5,83.5,27.50075
03-01-2025,17.5,84.5,
03-01-2025,18.5,80.5,29.663591
03-01-2025,18.5,81.5,29.055338
03-01-2025,18.5,82.5,28.288576
03-01-2025,18.5,83.5,27.348396
03-01-2025,18.5,84.5,27.384386
03-01-2025,19.5,80.5,30.289991
03-01-2025,19.5,81.5,29.146238
03-01-2025,19.5,82.5,28.057049
